Title,Keyword,개봉일(yyyymmdd)
언니,영화 언니,20190101
데드풀 2: 순한맛,데드풀 2,20190103
레인보우: 나의 사랑,레인보우 나의 사랑,20190103
레토,영화 레토,20190103
미션 이스탄불 5: 더 파이널,미션 이스탄불 5,20190103
주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2,20190103
아이스브레이커,영화 아이스브레이커,20190104
그린 북,영화 그린북,20190109
내안의 그놈,내안의 그놈,20190109
말모이,말모이,20190109
극장판 공룡메카드: 타이니소어의 섬,극장판 공룡메카드 타이니소어의 섬,20190110
돈 겟 아웃!,돈겟아웃,20190110
디스 크레이지 하트,다스 크레이지 하트,20190110
리지,영화 리지,20190110
빌리어네어 보이즈클럽,빌리어네어 보이즈클럽,20190110
사무라이-검신 주베에,사무라이 검신 주베에,20190110
신 배틀로얄:극악 소년원,신 배틀로얄 극악 소년원,20190110
신 배틀로얄:극악 소년원 2,신 배틀로얄 극악 소년원 2,20190110
완벽한 그녀의 비밀,완벽한 그녀의 비밀,20190110
요코하마 갱스터,요코하마 갱스터,20190110
아스트로: 우주전쟁,아스트로 우주전쟁,20190111
구스 베이비,구스 베이비,20190116
그대 이름은 장미,그대 이름은 장미,20190116
미래의 미라이,미래의 미라이,20190116
언더독,영화 언더독,20190116
왕이 될 아이,왕이 될 아이,20190116
쿠르스크,영화 쿠르스크,20190116
글래스,영화 글래스,20190117
더 서치,영화 더 서치,20190117
디 엔드?,영화 디 엔드,20190117
메이트,영화 메이트,20190117
언싱커블,언싱커블,20190117
우행록: 어리석은 자의 기록,우행록 어리석은 자의 기록,20190117
일일시호일,일일시호일,20190117
창간호,영화 창간호,20190117
극한직업,극한직업,20190123
"두 번째 여름, 두 번 다시 만날 수 없는 너",두번째 여름,20190123
몬스터파크,몬스터파크,20190123
크리미널 게임: 보석 사기단,크리미널 게임 보석 사기단,20190123
행맨,행맨,20190123
가버나움,영화 가버나움,20190124
데들리 스토커,데들리 스토커,20190124
베스와 베라,베스와 베라,20190124
아이 킬 자이언츠,아이 킬 자이언츠,20190124
얼굴들,영화 얼굴들,20190124
파이널리스트,파이널리스트,20190124
하트스트링스,하트스트링스,20190124
트라이아스기 월드: 잃어버린 세계,트라이아스기 월드 잃어버린 세계,20190129
고검기담: 소명신검의 부활,고검기담 소명신검의 부활,20190130
드래곤 길들이기 3,드래곤 길들이기 3,20190130
뺑반,뺑반,20190130
이월,영화 이월,20190130
jk닌자걸스,jk닌자걸스,20190131
극장판 헬로카봇: 옴파로스 섬의 비밀,극장판 헬로카봇 옴파로스 섬의 비밀,20190131
우리가족: 라멘샵,우리가족 라멘샵,20190131
시인 할매,시인 할매,20190205
알리타: 배틀 엔젤,알리타 배틀앤젤,20190205
툼 인베이더,툼 인베이더,20190205
레고 무비 2,레고 무비 2,20190206
사랑은 비가 갠 뒤처럼,사랑은 비가 갠 뒤처럼,20190207
아이스,영화 아이스,20190207
일진3,일진 3,20190207
챔피언스,영화 챔피언스,20190207
콜드 워,영화 콜드워,20190207
기묘한 가족,기묘한 가족,20190213
신밧드와 마법 양탄자,신밧드와 마법 양탄자,20190213
증인,영화 증인,20190213
닥터 킬러 패밀리,닥터 킬러 패밀리,20190214
도쿄의 밤하늘은 항상 가장 짙은 블루,도쿄의 밤하늘은 항상 가장 짙은 블루,20190214
드래곤볼 슈퍼: 브로리,드래곤볼 슈퍼 브로리,20190214
러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,러브라이브 선샤인 더 스쿨 아이돌 무비 오버 더 레인보우,20190214
메리 포핀스 리턴즈,메리 포핀스 리턴즈,20190214
"메리, 퀸 오브 스코틀랜드",메리 퀸 오브 스코틀랜드,20190214
명탐정 코난:전율의 악보,명탐정 코난 전율의 악보,20190214
타임 워프 워,타임 워프 워,20190214
해피 데스데이 2 유,해피 데스데이 2 유,20190214
해피니스 로드,해피니스 로드,20190214
험악한 꿈,험악한 꿈,20190214
5 솔저스,5 솔저스,20190218
치트 더 행맨,치트 더 행맨,20190219
포 핸즈,영화 포 핸즈,20190219
모험왕 블링키,모험왕 블링키,20190220
사바하,영화 사바하,20190220
신데렐라:마법 반지의 비밀,신데렐라 마법 반지의 비밀,20190220
콜드 체이싱,콜드 체이싱,20190220
CCTV: 은밀한 시선,CCTV 은밀한 시선,20190221
더 페이버릿: 여왕의 여자,더 페이버릿 여왕의 여자,20190221
마지막 8월 어느 기념비의 이야기,마지막 8월 어느 기념비의 이야기,20190221
살인마 잭의 집,살인마 잭의 집,20190221
허비 행콕: 무한한 가능성,허비 행콕 무한한 가능성,20190221
에이리언 어택 2019,에이리언 어택 2019,20190223
엽문 외전,엽문 외전,20190225
더 와이프,영화 더 와이프,20190227
래미의 초특급 시간여행,레미의 초특급 시간여행,20190227
빠삐용,영화 빠삐용,20190227
슈퍼미니 2,슈퍼미니2,20190227
"어쩌다, 결혼",영화 어쩌다 결혼,20190227
옷코는 초등학생 사장님!,옷코는 초등학생 사장님,20190227
자전차왕 엄복동,자전차왕 엄복동,20190227
칠곡 가시나들,칠곡 가시나들,20190227
퍼미션,영화 퍼미션,20190227
항거: 유관순 이야기,항거 유관순 이야기,20190227
600결사대,600결사대,20190228
국경의 왕,영화 국경의 왕,20190228
블레이드 소울,영화 블레이드 소울,20190228
실화: 숨겨진 비밀,영화 실화 숨겨진 비밀,20190228
캡틴 마블 : 예고편 ,캡틴 마블,20190306
각자의 미식,각자의 미식,20190307
그때 그들,영화 그때 그들,20190307
그때 그들 확장판 1: 욕망의 부활,영화 그때 그들 확장판,20190307
나는 다른 언어로 꿈을 꾼다,나는 다른 언어로 꿈을 꾼다,20190307
내가 사는 세상,영화 내가 사는 세상,20190307
리노,영화 리노,20190307
브라더 오브 더 이어,브라더 오브 더 이어,20190307
타임 트랩 킬러,타임 트랩 킬러,20190307
1919 유관순,영화 1919 유관순,20190314
라스트 미션,영화 라스트 미션,20190314
무법자 난공불락 대열차,무법자 난공불락 대열차,20190314
미결처리반 Q 4: 순수의 배신,미결처리반 Q 4 순수의 배신,20190314
봄은 온다,영화 봄은 온다,20190314
숲속왕국의 꿀벌 여왕,숲속왕국의 꿀벌 여왕,20190314
아사코,영화 아사코,20190314
에브리타임 룩 앳 유,에브리타임 룩 앳 유,20190314
엔젤페이스,영화 엔젤페이스,20190314
이스케이프 룸,영화 이스케이프 룸,20190314
질투의 역사,영화 질투의 역사,20190314
철벽선생,철벽선생,20190314
히치하이크,영화 히치하이크,20190314
몽 가르송,몽 가르송,20190319
돈,영화 돈,20190320
악질경찰,악질경찰,20190320
우상,영화 우상,20190320
데스티네이션 콘트롤,데스티네이션 콘트롤,20190321
무서운 이야기 : 오두막의 악마,무서운 이야기 오두막의 악마,20190321
양지의 그녀,양지의 그녀,20190321
원네이션,영화 원네이션,20190321
정글북: 마법 원정대,정글북 마법 원정대,20190321
짱,영화 짱,20190322
울프 SWAT,울프 SWAT,20190325
쿵푸 워리어,영화 쿵푸 워리어,20190326
강변호텔,영화 강변호텔,20190327
더 길티,더 길티,20190327
덤보,영화 덤보,20190327
방문객,영화 방문객,20190327
선희와 슬기,선희와 슬기,20190327
썬키스 패밀리,썬키스 패밀리,20190327
