META_ID,META_TITLE,SUB_TITLE,ENGL_TITLE,OPEN_DY,DMST_SPCT_CNT,SRIS_NM,BTV_OPEN_DT,META_MANUF_CTRY_CD,META_MANUF_CTRY_NM,GNR_ID,META_GNR_NM,WAT_LVL_CD,WAT_LVL_NM,MANUFCO_NM,DSTBTCO_NM,SSTRY_CIN_YN,KIDS_YN
MM1000234175,0.0mhz,,0.0MHz,20190529,59344,0.0MHz[캐치온],20190812090000,001,대한민국,MG0000000001|MG0000000004,드라마|공포(호러),15,15세 관람가,"(주)제이엠컬쳐스 , (주)몬스터팩토리",(주)스마일이엔티,N,
MM1000334701,1 더하기 3,,Three Husbands,20191212,,1+3,20191212090000,006,홍콩,MG0000000001|MG0000000011,드라마|멜로/로맨스,19,19세 관람가,,,N,
MM1000311677,100일동안 100가지로 100퍼센트 행복찾기,,100 Things,20190912,707,100일 동안 100가지로 100퍼센트 행복찾기,20190930090000,013,독일,MG0000000001|MG0000000010,드라마|코미디,15,15세 관람가,,영화사 진진 ,N,
MM1000337435,10년,,Ten Years Japan,20191212,,10년,20191224090000,003,일본,MG0000000001|MG0000000014,드라마|가족,0,전체 관람가,,(주)디오시네마,N,
MM1000191569,12번째 솔저,,The 12th Man,20190411,,12번째 솔저,20190418090000,053,노르웨이,MG0000000001|MG0000000009,드라마|전쟁,12,12세 관람가,,(주)엣나인필름,N,
MM1000263927,13년의 공백,,blank 13,20190704,1142,13년의 공백,20190722090000,003,일본,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,,"(주)영화사 그램 , (주)디오시네마 ",N,
MM1000235938,1919 유관순,,,20190314,57370,1919 유관순,20190628090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,유관순문화산업전문유한회사 ,"(주)마운틴픽쳐스 , kth(주) ",N,
MM1000321925,47미터 2,,47 METERS DOWN: UNCAGED,20190828,478832,47미터 2,20191025090000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),15,15세 관람가,,"TCO(주)더콘텐츠온 , (주)제이앤씨미디어그룹 ",N,
MM1000140786,5 솔저스,,T.I.M,20190218,,5 솔저스,20190218090000,111,터키,MG0000000001|MG0000000009,드라마|전쟁,15,15세 관람가,,BX픽쳐스 ,N,
MM1000150273,600결사대,,Defenders,20190228,,600결사대,20190228090000,004,중국,MG0000000002|MG0000000009,액션|전쟁,15,15세 관람가,,(주)아이아스플러스,N,
MM1000329832,82년생 김지영,,"KIM JI-YOUNG, BORN 1982",20191023,1816629,82년생 김지영,20191203000000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,(주)봄바람영화사,롯데엔터테인먼트 ,N,
MM1000297808,9월의 사랑과 만날때까지,,Until I Meet September's Love,20190904,,9월의 사랑과 만날때까지,20190904090000,003,일본,MG0000000001|MG0000000006|MG0000000011,드라마|판타지|멜로/로맨스,0,전체 관람가,,(주)얼리버드픽쳐스,N,
MM1000143770,CCTV: 은밀한 시선,,Welcome Home,20190221,,CCTV: 은밀한 시선,20190221090000,002,미국,MG0000000001|MG0000000003,드라마|스릴러,19,19세 관람가,,(주)비디오가게 ,N,
MM1000314117,CIA 데빌헌터,,All The Devil's Men,20190926,,CIA 데빌헌터,20190926090000,008,영국,MG0000000002|MG0000000003,액션|스릴러,15,15세 관람가,,씨네라인월드(주),N,
