META_ID,PRS_ID,PRS_NM,PRS_ROLE_NM,FILMOGRAPHY
MM1000103011,MP0000052678,크리스티앙 알바트,감독(연출),돈 겟 아웃!|미션 이스탄불 5: 더 파이널|미션 이스탄불 4: 익스트림 데이|미션 이스탄불 3: 더 리벤지|미션 이스탄불
MM1000109497,MP0000052678,크리스티앙 알바트,감독(연출),돈 겟 아웃!|미션 이스탄불 5: 더 파이널|미션 이스탄불 4: 익스트림 데이|미션 이스탄불 3: 더 리벤지|미션 이스탄불
MM1000114876,MP1000003556,금패진,감독(연출),완벽한 그녀의 비밀
MM1000115034,MP0000112474,마크 로테문트,감독(연출),디스 크레이지 하트
MM1000115408,MP0000005457,파올로 타비아니,감독(연출),레인보우: 나의 사랑
MM1000115704,MP1000003585,니콜라이 콤메리키,감독(연출),아이스브레이커
MM1000117095,MP0000045990,임경택,감독(연출),언니
MM1000118454,MP0000147075,데이빗 레이치,감독(연출),분노의 질주: 홉스&쇼|데드풀 2: 순한맛|데드풀 2|데드풀 2|아토믹 블론드
MM1000119517,MP1000003850,빅토르 다넬,감독(연출),언싱커블
MM1000120747,MP1000003913,다니엘레 미시스키아,감독(연출),디 엔드?
MM1000123495,MP1000004098,크레이그 맥닐,감독(연출),리지
MM1000124663,MP0000033139,미첼 부젠아,감독(연출),하트스트링스
MM1000124698,MP1000004151,안데르스 월터,감독(연출),아이 킬 자이언츠
MM1000125585,MP1000004189,백승환,감독(연출),첫잔처럼|창간호
MM1000125693,MP0000145980,야마가 타카유키,감독(연출),신 배틀로얄:극악 소년원|신 배틀로얄:극악 소년원 2|게발트 파이브: 구타본능
MM1000125732,MP0000038351,제임스 콕스,감독(연출),빌리어네어 보이즈클럽
MM1000126283,MP1000004229,아시프 액크바,감독(연출),아스트로: 우주전쟁
MM1000126745,MP1000004256,이시카와 케이,감독(연출),10년|우행록: 어리석은 자의 기록
MM1000126752,MP0000087503,크리스토퍼 젠킨스,감독(연출),구스 베이비
MM1000126856,MP0000005033,레니 할린,감독(연출),침입자들|고검기담: 소명신검의 부활
MM1000127682,MP0000145980,야마가 타카유키,감독(연출),신 배틀로얄:극악 소년원|신 배틀로얄:극악 소년원 2|게발트 파이브: 구타본능
MM1000127725,MP0000104094,나카니시 켄지,감독(연출),"두 번째 여름, 두 번 다시 만날 수 없는 너"
MM1000128121,MP1000004236,자니 마틴,감독(연출),행맨
MM1000128246,MP0000058216,호소다 마모루,감독(연출),미래의 미라이
MM1000128263,MP0000158720,키릴 세레브렌니코프,감독(연출),레토
MM1000128477,MP0000004996,토마스 빈터베르그,감독(연출),쿠르스크|사랑의 시대
MM1000129479,MP0000136605,미셀 하자나비시우스,감독(연출),네 멋대로 해라: 장 뤽 고다르|더 서치
MM1000129535,MP1000004323,조석현,감독(연출),그대 이름은 장미
MM1000131454,MP0000096502,사토 겐타,감독(연출),jk닌자걸스
MM1000131455,MP1000000660,최신규,감독(연출),극장판 헬로카봇 : 달나라를 구해줘!|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|극장판 헬로카봇 : 백악기 시대
MM1000131477,MP0000078701,강효진,감독(연출),내안의 그놈|양아치 느와르
MM1000131554,MP0000088414,파스칼 로지에,감독(연출),베스와 베라
MM1000131580,MP0000150260,정대건,감독(연출),메이트
MM1000131615,MP1000004336,필 존스턴,감독(연출),주먹왕 랄프 2: 인터넷 속으로
MM1000132470,MP1000004518,안드레스 코투리어,감독(연출),몬스터파크
MM1000132474,MP1000004514,브레히트 반후니커,감독(연출),파이널리스트
MM1000132673,MP0000088557,제임스 토마스,감독(연출),툼 인베이더
MM1000133246,MP0000079288,조지아 리,감독(연출),데들리 스토커
MM1000136415,MP1000003908,엄유나,감독(연출),말모이
MM1000136879,MP1000004601,신인성,감독(연출),해피니스 로드
MM1000136887,MP0000092646,이강현,감독(연출),얼굴들
MM1000136895,MP0000025192,이시하라 시게루,감독(연출),사무라이-검신 주베에
MM1000137307,MP1000004620,하비에르 페서,감독(연출),챔피언스
MM1000139052,MP1000004661,드미트리 티우린,감독(연출),타임 워프 워
MM1000140316,MP1000004681,올레그 트로핌,감독(연출),아이스
MM1000140786,MP1000004694,오누르 이잇,감독(연출),5 솔저스
MM1000141526,MP0000155245,나가이 아키라,감독(연출),사랑은 비가 갠 뒤처럼
MM1000141591,MP1000004625,올리버 킨레,감독(연출),포 핸즈
MM1000141621,MP0000148152,한준희,감독(연출),뺑반
MM1000141651,MP0000028379,이종은,감독(연출),산티아고의 흰 지팡이|시인 할매
MM1000142621,MP1000004803,에두와르도 엘 산체스,감독(연출),마지막 8월 어느 기념비의 이야기
MM1000142802,MP0000160664,김진철,감독(연출),극장판 헬로카봇 : 달나라를 구해줘!|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 헬로카봇 : 백악기 시대
MM1000142829,MP1000002641,김중현,감독(연출),이월
MM1000143770,MP0000090538,조지 래틀리프,감독(연출),CCTV: 은밀한 시선
MM1000143771,MP0000104639,나가미네 타츠야,감독(연출),드래곤볼 슈퍼: 브로리
MM1000143978,MP1000004818,카스텐 킬러리치,감독(연출),신밧드와 마법 양탄자
