META_ID,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,BTV_PNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT
MM1000131615,34540,1025,,54616,3.62,4,7.33,8
MM1000143771,,,,2017,3.25,2,6,6
MM1000160235,20,8,,433,2.79,1,,6
MM1000167168,15929,2911,,78479,3.25,9,5.75,6.8
MM1000180060,326,64,,5850,3.45,6,6.5,7
MM1000189112,25,10,,595,3.16,2,,5
MM1000199616,12,0,,93,3.32,3,,5.33
MM1000202388,37,5,,2479,3.65,5,7.5,7.67
MM1000220335,80,4,,6342,3.53,4,,6
MM1000227592,14863,516,,15147,2.97,3,5,5.5
MM1000233085,14,0,,342,3.13,1,,7
MM1000238938,16,3,,1077,3.54,7,7.5,7.33
MM1000242724,2613,61,,5507,3.04,4,6,6
MM1000244916,17,2,,16,3.16,2,,4.5
MM1000245912,11,0,,172,2.67,1,,6
MM1000248263,774,10,,332,2.97,4,7,5.67
MM1000260661,465,42,,1314,2.95,3,7,5.5
MM1000263927,21,4,,499,3.07,3,,6.67
MM1000292699,1919,497,,905,2.92,3,5,5.5
MM1000313635,,,,484,3.64,1,10,
MM1000316885,,,,243,2.99,3,,6
MM1000317051,1012,68,,42558,3.28,6,7,5.75
MM1000318562,15,1,,239,3.34,3,,6
MM1000321925,10063,2504,,5716,2.68,4,4.5,4
MM1000326559,47,45,,2011,3.16,5,5,7
MM1000331282,54,12,,387,3.30,4,1,6
MM1000333615,23,6,,249,2.14,2,10,3
MM1000334030,7,0,,182,3.12,3,10,6.5
MM1000334196,6991,5457,,1822,2.69,4,6.5,7
MM1000334278,453,13,,951,3.38,3,8.5,6
MM1000334690,15,6,,109,3.32,1,8,
MM1000335709,1635,249,,15539,3.33,5,6.5,6.67
MM1000336079,28,2,,178,3.71,2,10,6
MM1000337007,9,2,,56,3.42,1,,6
MM1000337111,2477,361,,40577,4.08,6,8.5,6.75
MM1000339941,4,5,,431,3.10,3,,5.67
MM1000340018,6,2,,677,3.86,3,10,7.5
MM1000341962,1992,109,,1465,3.06,4,5.5,6
MM1000342444,431,180,,463,3.09,6,8,6.5
MM1000343999,17753,635,,14011,3.06,7,6,6.83
MM1000346150,16477,320,,56710,3.89,7,8.67,7
MM1000348698,3,0,,7792,2.20,5,6.5,5
MM1000351758,12,3,,2223,3.29,5,7.5,6.67
MM1000128246,,,,10881,3.07,5,8,6.67
MM1000128263,96,9,,7217,3.69,5,6,7.25
MM1000132474,139,10,,247,3.25,2,,5.5
MM1000136415,22587,239,,60305,3.54,9,7.6,5.5
MM1000176194,2068,410,,29055,3.94,10,8.75,8.33
MM1000179076,2401,288,,16904,3.02,4,6.5,5
MM1000182422,59,4,,274,2.57,3,,5
MM1000184271,17,4,,996,3.59,4,,6.5
MM1000190786,7,0,,699,2.85,5,,4.6
MM1000198252,35,1,,294,3.29,3,,5.33
MM1000199787,17,2,,1873,3.40,3,,6
MM1000205095,7093,231,,13601,3.53,7,6,6.83
MM1000217152,2,2,,526,3.03,3,,5.67
MM1000227536,8636,219,,15245,3.41,7,6,6.6
MM1000229619,,,,8,2.44,1,,5
MM1000231990,1032,19,,12149,3.68,3,,4.67
MM1000235768,7,1,,457,1.98,2,4,3
MM1000237467,62750,3906,,32646,2.98,7,6.25,5.67
