META_ID,PRIZE_YN,PRIZE_CNT
MM1000340018,Y,3
MM1000329732,Y,1
MM1000227591,Y,1
MM1000167934,Y,4
MM1000142829,Y,2
MM1000176194,Y,11
MM1000327645,Y,2
MM1000180060,Y,6
MM1000194052,Y,2
MM1000263927,Y,1
MM1000324144,Y,4
MM1000322175,Y,2
MM1000213326,N,0
MM1000334030,N,0
MM1000266020,N,0
MM1000213272,N,0
MM1000346889,N,0
MM1000280365,N,0
MM1000168035,N,0
MM1000276138,N,0
MM1000255211,N,0
MM1000316939,N,0
MM1000299928,N,0
MM1000328768,N,0
MM1000242299,N,0
MM1000129535,N,0
MM1000331282,N,0
MM1000305840,N,0
MM1000282796,N,0
MM1000136415,N,0
MM1000292123,N,0
MM1000144963,N,0
MM1000308472,N,0
MM1000136895,N,0
MM1000233085,N,0
MM1000308558,N,0
MM1000343504,N,0
MM1000319674,N,0
MM1000125732,N,0
MM1000329749,N,0
MM1000315961,N,0
MM1000349824,N,0
MM1000191797,N,0
MM1000232904,N,0
MM1000332163,N,0
MM1000227592,N,0
MM1000339931,N,0
MM1000318568,N,0
MM1000337111,N,0
MM1000243047,N,0
MM1000324057,N,0
MM1000232958,N,0
MM1000164234,N,0
MM1000336079,N,0
MM1000245912,N,0
MM1000318651,N,0
MM1000168866,N,0
MM1000142621,N,0
MM1000278899,N,0
MM1000191569,N,0
MM1000340397,N,0
MM1000321379,N,0
MM1000225480,N,0
MM1000199616,N,0
MM1000289681,N,0
MM1000226188,N,0
MM1000360572,N,0
MM1000190550,Y,1
MM1000339941,Y,1
MM1000199295,Y,1
MM1000318800,Y,1
MM1000319282,Y,1
MM1000278658,Y,1
MM1000314140,Y,1
MM1000144473,Y,7
MM1000160568,Y,4
MM1000119517,Y,1
MM1000156850,Y,2
MM1000328792,Y,1
MM1000336086,Y,2
MM1000159247,Y,9
MM1000152655,Y,7
MM1000194528,N,0
MM1000265729,N,0
MM1000324152,N,0
MM1000237953,N,0
MM1000350175,N,0
MM1000248467,N,0
MM1000316089,N,0
MM1000178083,N,0
MM1000235662,N,0
MM1000315712,N,0
MM1000256486,N,0
MM1000300094,N,0
MM1000208703,N,0
MM1000151232,N,0
MM1000321019,N,0
MM1000271013,N,0
MM1000114876,N,0
MM1000314528,N,0
MM1000316887,N,0
MM1000244848,N,0
MM1000229619,N,0
MM1000245384,N,0
MM1000239636,N,0
MM1000209818,N,0
MM1000315713,N,0
MM1000317637,N,0
MM1000155884,N,0
MM1000143978,N,0
MM1000241531,N,0
MM1000336626,N,0
MM1000216083,N,0
MM1000319509,N,0
MM1000141526,N,0
MM1000260661,N,0
MM1000297968,N,0
MM1000337435,N,0
MM1000252716,N,0
MM1000322865,N,0
MM1000158330,N,0
MM1000148217,N,0
MM1000340424,N,0
MM1000318562,N,0
MM1000278711,Y,1
MM1000158184,Y,1
MM1000324493,Y,9
MM1000163157,Y,1
MM1000136879,Y,2
MM1000205389,Y,6
MM1000150211,Y,1
MM1000194134,Y,2
MM1000128263,Y,1
MM1000259292,Y,1
MM1000308750,Y,1
MM1000243830,Y,4
MM1000304225,Y,5
MM1000320708,Y,1
MM1000324783,N,0
MM1000324694,N,0
MM1000263910,N,0
MM1000318656,N,0
MM1000328476,N,0
MM1000118454,N,0
MM1000194207,N,0
MM1000353653,N,0
MM1000221238,N,0
MM1000303061,N,0
MM1000251085,N,0
MM1000154912,N,0
MM1000325798,N,0
MM1000244895,N,0
MM1000264926,N,0
MM1000330074,N,0
MM1000281906,N,0
MM1000350769,N,0
MM1000229398,N,0
MM1000237467,N,0
MM1000198200,N,0
MM1000327709,N,0
MM1000315165,N,0
MM1000332142,N,0
MM1000287791,N,0
MM1000297689,N,0
MM1000131454,N,0
MM1000244916,N,0
MM1000259938,N,0
MM1000313618,N,0
MM1000124698,N,0
MM1000300098,N,0
MM1000216424,N,0
MM1000328085,N,0
MM1000333362,N,0
MM1000120747,N,0
MM1000328081,N,0
MM1000176290,N,0
MM1000322821,N,0
MM1000353503,N,0
MM1000325026,N,0
MM1000358727,N,0
MM1000143770,N,0
MM1000299701,N,0
MM1000143771,N,0
MM1000181756,N,0
MM1000126283,N,0
MM1000127725,N,0
MM1000251079,N,0
MM1000163226,N,0
MM1000220337,N,0
MM1000221204,N,0
MM1000242724,N,0
MM1000217297,N,0
MM1000322684,N,0
MM1000147399,N,0
MM1000156677,N,0
MM1000315302,N,0
MM1000317870,N,0
MM1000333080,N,0
MM1000117095,N,0
MM1000193316,N,0
MM1000316885,N,0
MM1000320186,N,0
MM1000278581,N,0
MM1000198165,Y,3
MM1000136887,Y,2
MM1000241145,Y,1
MM1000137307,Y,1
MM1000115034,Y,2
MM1000223613,Y,1
MM1000238938,Y,1
MM1000150870,Y,1
