META_ID,META_TITLE,SUB_TITLE,ENGL_TITLE,SNSS_CTS,CINE21_CTSC_NM,CINE21_COMT_CTSC
MM1000103011,돈 겟 아웃!,,Don't Get Out!,"폭탄이 설치된 차량, 가족을 구해야 한다.
결혼기념일을 맞이하여 집에 돌아온 칼은 아이들을 학교에 데려다주려 차에 탄 순간 낯선 이의 전화를 받는다.
차 안에 폭탄이 설치되었으니 아무도 차에서 내리지 말고 요구하는 돈을 준비할 것.
칼과 아이들은 차에서 내리지 못하고 아슬아슬한 도심 속 질주를 계속하게 되는데...",,
MM1000109497,미션 이스탄불 5: 더 파이널,,Fegefeuer,"무장한 테러범들이 방송국을 급습하는 사건이 온 도시를 발칵 뒤집고 피랫의 석방을 요구하며 인질들의 목숨을 위협하기 시작한다.
한편, 이자벨라를 잃은 닉은 복수심에 불타올라 피랫을 잡지만 경찰 상부의 지시와 인질의 안전을 위해 피랫을 테러범들에게 넘겨주려 한다.
그러던 중, 레벤브룩 의원이 테러범과 내통하고 있다는 사실을 알게 되고 사건의 배후에 숨겨진 진실을 알아내기 위해 그의 뒤를 쫓기 시작하는데...",김현수|박평식,뭉그적뭉그적 미션|제철 지난 독일판 <테이큰>
MM1000114876,완벽한 그녀의 비밀,,The Perfect Girl,"아름다운 여대생 ‘예신’은 멋진 남자친구 ‘미아오’와 연애중이다.
어느 날 폭우가 내린 뒤 예신의 집 정원에서 시체 2구가 발견되고 그 중 하나가 실종된 미아오의 전 여자친구인 것으로 드러난다.
알고 보니 과거에 미아오가 교제했던 여자친구들이 모두 자살로 죽었다는 사실이 밝혀지면서 완벽해 보이던 그녀의 삶에 균열이 생기기 시작하는데...
너무나 사랑하는 애인의 전 여자친구들을 죽인 범인은 과연 누구일까?",,
MM1000115034,디스 크레이지 하트,,This Crazy Heart,불치병 소년과 바람둥이 청년의 우정을 그린 영화,,
MM1000115408,레인보우: 나의 사랑,,Una questione privata,"모든 사람이 꿈꾸어 왔던 소설
20세기 이탈리안들이 가슴에 품은 단 하나의 러브스토리
1943년 이탈리아 피에몬테, 영문학에 매료된 청년 밀톤은 사랑하는 여인 풀비아에게 '오버 더 레인보우' 레코드를 선물하고 언제나 편지를 쓴다. 
1년 뒤 풀비아가 떠난 후, 친구 조르조와 레지스탕스로 활동하는 밀톤은 조르조가 그녀와 남몰래 만나왔다는 사실을 알게 된다. 
사랑의 깊이만큼 밀톤의 감정이 휘몰아친다.",이주현,스크린 너머로는 전해지지 않는 사랑의 열병
MM1000115704,아이스브레이커,,Icebreaker,"1985년, 러시아의 충격 실화. 쇄빙선 미하일 그로모프 호는 항해 도중 빙산과 충돌한다. 
쏟아지는 빙산 파편은 가까스로 피했으나 오히려 해빙에 사이에 갇히고 만다. 
선체가 망가지고 엔진이 고장나서 움직일 수도 없는 상황. 
70명의 쇄빙선 선원들이 남극 한 가운데에 고립되고 만다. 과연 그들은 살아남을 수 있을까?",,
MM1000117095,언니,,No Mercy,"남들처럼 평범하게 살고 싶었는데… 동생이 사라졌다.
내 동생 어디로 보냈어?
동생의 흔적에 가까워질수록 그녀의 분노는 폭발한다.
오늘, 여기서 끝장낸다!",김소미,투명한 혐오가 언니의 발목을 붙잡는다
MM1000118454,데드풀 2: 순한맛,,ONCE UPON A DEADPOOL,"그분이 다시 오신다. 
이번엔 순한맛으로!

데드풀이 프레드 세비지를 납치했다.
프레드 세비지는 1980~90년대 유명 드라마 '케빈은 열두살'에 주인공으로 출연한 아역 출신 배우, 그 프레드이다.
데드풀이 동화책을 읽어주는 이번 영화의 콘셉트 전체가 그가 어른 시절 출연한 영화 '프린세스 브라이드'의 내용을 그대로 패러디했다는 점에서 폭소를 자아낸다.",,
MM1000119517,언싱커블,,The Unthinkable,"평화로운 어느 날, 정체불명의 공격으로 다리가 무너진다.
천재 음악가 알렉스는 위험에 빠진 도시를 벗어나 어린 시절을 보낸 고향으로 돌아간다. 
오랜 시간 연락을 끊고 지낸 아버지와 첫사랑 안나를 만난 알렉스는 재회의 감정을 느낄 틈도 없이 미스터리한 재난의 습격과 마주한다.
걷잡을 수 없을 만큼 커진 공격은 정부와 군인의 방어로도 역부족인 상태에 다다르고, 모든 사람들 위협하기 시작하는데… 
정체불명의 이 공격은 어디서부터 시작됐을까?
2019년 1월, 초대형 극비 프로젝트의 비밀이 밝혀진다.",,
MM1000120747,디 엔드?,,The End?,"벗어날 수 없는 지옥의 공간
중요한 미팅을 앞두고 엘리베이터에 갇히게 된 클라우디오,
수리를 요청하지만 기다리라는 대답만 돌아올 뿐이다
기다리다 지친 클라우디오는 엘리베이터 문을 직접 열기로 결심한다
간신히 열린 엘리베이터 틈으로 본 바깥은 좀비로 아수라장이 되어버렸고...
과연, 클라우디오는 무사히 살아남을 수 있을까?",,
MM1000123495,리지,,LIzzie,"아무도 널 구해줄 수 없어

메사추세츠의 대부호 보든 가의 상속녀 리지(클로에 세비니) 
호시탐탐 아버지의 유산을 노리는 새엄마와 삼촌이 두렵다 
그러던 어느 날 새로 온 하녀 브리짓(크리스틴 스튜어트)이 리지에게 말을 건네고 둘은 은밀한 만남을 이어가기 시작한다 
  
당신을 위해 무엇이든 할게요",김소미,악명 높은 인물의 매혹적인 현신
MM1000124663,하트스트링스,,Le Coeur en braille,"눈을 감아도 네 마음이 보여
시력은 점점 잃어가지만, 꿈은 점점 더 커진다!
음악 학교 오디션을 보기 위해 눈이 잘 보이는 척 어른들을 속이는 좌충우돌 이야기.
그리고 친구의 꿈을 위해 어떤 일도 불사하는 순수한 우정!
12살 마리는 과연 무사히 오디션을 볼 수 있을까?",,
MM1000124698,아이 킬 자이언츠,,I Kill Giants,"따분한 학교생활과 위태로운 가정생활에서 탈출하고 싶은 바버라에게는 한 가지 비밀이 있다. 
마을을 지키기 위해 거인을 찾아내 죽이는 ‘자이언츠 헌터’라는 것.
거인의 존재를 아무도 믿지 않지만 바버라는 자이언츠의 공격에 대비해 매일 요새를 짓고 보초를 선다. 
그러던 어느 날, 늘 혼자였던 바버라에게 영국에서 전학 온 소피아가 말을 걸어온다. 
바버라는 그동안 감춰 왔던 자이언츠들의 위험한 세상을 소피아에게 조심스럽게 보여주고, 둘은 특별한 우정을 쌓아 나간다.
하지만 소녀들의 우정이 깊어질수록 자이언츠들의 위협은 강해지는데..
바버라는 자신의 세계를 지켜낼 수 있을까…?",이용철,"단편 때부터 일관된 주제 - 죽음, 친구, 판타지"
MM1000125585,창간호,,The First Issue,"위트 재치 풍자 패기 넘치는 단편선들의 종합선물세트가 왔다.
국내 뉴-제너레이션들의 당당한 도전!
지금부터, 꿈과 낭만이 가득한 밤의 질주가 시작됩니다.
대리 드라이버 
심해어가 물어다 준 사랑
이혼 합시다
쿨 하지 못해 미안한 나에게
양가성의 법칙
누가 뭐라든 가장 소중한 우리 형, 그리고 내 동생
미안해 
4선과 당대표를 앞둔 3선의원, 그에게는 반드시 만나야 할 첫사랑이 있다.
삼선의원",,
MM1000125693,신 배틀로얄:극악 소년원,,New Juvenile prison Battle Royale 1,"강력범죄 근절에 나선 정부. 종신형을 선고받은 폭력범들만 수용하기 위해 무인도에 지어진 특별 교도소, 오직 죽음만이 기다리는 그 곳에 살인죄로 투옥 된 요시오카와 쿠보타. 
지옥의 환영식을 받고 위험천만한 죄수들이 기다리는 시설에 보내지는데, 철저한 약육강식의 법칙에 의해 돌아가는 그 곳에서 살아남기 위해 두 남자의 고군분투가 이어진다.
",,
MM1000125732,빌리어네어 보이즈클럽,,Billionaire Boys Club,"부자가 되고 싶다면, 당신의 돈을 맡겨라
비버리힐즈를 매혹시킨 두 청년이 온다!
훈훈한 외모, 명석한 두뇌, 뛰어난 입담, 화려한 인맥까지...! 
마성의 매력으로 비버리힐즈 억만장자들을 매혹시킨 두 청년 
'조'(안셀 엘고트)와 '딘'(태런 에저튼)의 범죄 실화.
",이주현,관객을 설득하는 데는 재능 없는 사기꾼들
MM1000126283,아스트로: 우주전쟁,,Astro,"믿을 수 없는 우주의 충격적 진실이 드러난다!
우주항공산업을 성공시키며 놀라운 기술의 발전을 이루어낸 억만장자 알렉산더.
그런데 우연히 발견한 외계 생명체에 무언가 비밀이 숨겨져 있음을 알고 특수부대 시절 동료였던 잭 아담스를 우주항공사로 초대해 도움을 청한다.
그리고 그들 앞에 드러나는 충격적인 진실! 그 무엇도 이제 믿을 수 없다.",,
MM1000126745,우행록: 어리석은 자의 기록,,Traces of Sin,"누구도 ‘거짓말’을 하지 않았다
아무도 ‘진실’을 말하지 않았다

일본 열도를 뒤흔든 살인 사건이 발생한 지 1년 후, 미궁에 빠진 사건의 진실을 찾고자 계속해서 취재하고 있는 기자 ‘다나카’(츠마부키 사토시).
그들의 주변 사람들을 취재하던 중 숨겨져 있던 진실을 마주하게 되는데!
하나 둘 씩 모아지는 과거의 조각들 속 과연 누가 가해자이고, 누가 피해자인가?",김송희|이다혜|이용철|이화정|임수연,"극단적이어도 하나같이 이해가는 인물들|마음이 병든 사람들의 사회|버스 한켠에 선, 묵묵한 표정의 남자를 보았다|범죄 수사물의 자극을 덜어내고, 사회병리학을 탐구|인간의 악의에 대한 기 빨리는 기록"
MM1000126752,구스 베이비,,Duck Duck Goose,"내가 오리남매 엄마(?)라 구~스?!
나 혼자 사는 싱글남 구스에게 닥친 최대 위기!

비행 실력 100점, 사회성 0점! 
‘나 혼자’ 라이프를 즐기는 까칠남 구스 잭의 앞에
보송보송 귀여운 아기 오리 남매가 굴러들어온다.

거침없이 잭에게 팀플레이를 제안하는 오키,
무턱대고 잭을 엄마로 오해하는 도키!
잭이 세상 귀찮은 두 혹과 함께 모험을 시작한 그 때, 
야생의 지배자 반조가 그들의 뒤를 추격해 오는데…",송경원,안정감과 진부함은 한끗 차이
MM1000126856,고검기담: 소명신검의 부활,,Legend of the Ancient Sword,"천계를 뒤흔들 검의 대결이 시작된다!

천하 제일 자기애 하나로 살아가는 악무이는 자신의 사부 ‘사의 대사’를 찾기 위해 전국에서 가장 뛰어난 무협 대결이 펼쳐진다는 박매장에 간다.
그곳에서 얼음을 자유자재로 다루는 하이칙, 검 하나로 모든 것을 이기는 여전사 문인우를 만난다. 
사의 대사는 인간계를 보호하는 유일한 희망인 소명신검을 찾기 위해 고군분투하는 도중 인간계가 큰 위험에 빠졌다는 소식을 듣는다.
4조각으로 흩어진 소명 신검을 찾기 위해 모든 것을 건 하이칙과 문인우 그리고 악무이.
과연 그들은 마계와의 전투에서 인간계를 지켜낼 수 있을까?",,
MM1000127682,신 배틀로얄:극악 소년원 2,,New Juvenile prison Battle Royale 2,"강력범죄 근절에 나선 정부. 
종신형을 선고받은 폭력범들만 수용하기 위해 무인도에 지어진 특별 교도소, 오직 죽음만이 기다리는 그 곳에 살인죄로 투옥 된 요시오카는 동료 쿠보타와 탈옥을 시도하지만 실패. 
다시 붙잡혀 오고, 다음날 죄수들을 대상으로 살인게임을 펼치는 교도소. 
지옥 같은 무인도에서 살아남기 위해 서로의 살육이 시작된다.
",,
MM1000127725,"두 번째 여름, 두 번 다시 만날 수 없는 너",,"Second Summer, Never See You Again","그때 너는 나와 같은 마음이었을까
너에게 전한 마지막 고백을 지우기 위해 나는 두 번째 여름으로 돌아왔다.
전학생 소녀 ‘린’에게 반해버린 소년 ‘사토시’.
우연히 밴드를 함께 하게 되면서 둘은 가까운 친구가 된다.
매일을 함께하며 소녀를 향한 소년의 마음은 점점 커지고, ‘사토시’는 결국 그녀의 마지막 순간에 ‘좋아해’라는 말을 내뱉고 마는데…",이용철,세 번째 여름이 올까 무서웠다
MM1000128121,행맨,,Hangman,"살인 게임에 동참한 당신, 탈출구는 없다!
밤 11시, 어김없이 오늘도 살인 사건이 발생했다.
알파벳 문양의 칼자국이 새겨져 목을 맨 채 발견된 시체들.
의문의 연쇄살인마는 현장에 다음 희생양에 대한 힌트를 남기고, 마치 게임을 걸듯 두 명의 형사를 지목한다.
아내를 잃은 현직 형사 ‘루이니’, 자유로운 영혼을 가진 전직 형사 ‘아처’. 그리고, 이 사건을 끝까지 추적해야 하는 기자 ‘크리스티’
희생자가 늘어날수록 점점 채워져 가는 행맨 게임의 알파벳.
세 사람은 연쇄살인마가 주는 힌트를 따라 살인보다 빠르게 다음 희생양을 예상해야만 하는데...",이용철,게으름의 과잉이 낳은 결과
MM1000128246,미래의 미라이,,MIRAI,"우리 친해질 수 있을까?
4살 소년(!) ‘쿤’, 미래에서 온 여동생 ‘미라이’를 만나다!
엄마와 아빠, 그리고 사랑스러운 강아지 ‘윳코’, 
너무너무 좋아하는 기차 장난감들이 있는 나만을 위한 놀이방과 작은 정원.
세상 행복한 삶을 살고 있던 네 살 ‘쿤’에게, 첫 눈이 오던 날 동생 ‘미라이’가 찾아온다!
여동생과의 첫 만남, 신비로운 순간도 잠시…
부모님의 관심은 온통 ‘미라이’에게 향하고, ‘쿤’은 인생 최초 위기감(!)과 설움을 느끼게 된다.
그러던 어느 날 ‘쿤’에게 미래에서 온 소녀 ‘미라이’가 찾아오게 되는데!
‘쿤’의 작은 정원에서 아주 특별한 여행이 시작된다!",송형국|이주현|임수연,모든 ‘처음’을 응원하는 호소다 마모루의 ‘이것이 진짜 육아’|안과 밖의 중간계가 확장하는 인식의 건축면적|직선의 시선. 폐곡선의 깨달음
MM1000128263,레토,,Summer,"우리가 사랑한 모든 것
1981, 레닌그라드 
자신만의 음악을 하고 싶은 자유로운 뮤지션 ‘빅토르 최’
금기의 록음악을 열망하는 열정적인 록스타 ‘마이크’ 
그리고 그의 매력적인 뮤즈 ‘나타샤’
음악이 있어 빛나고, 사랑이 있어 아름답고, 젊음이 있어 찬란한 그들의 끝나지 않을 여름이 시작된다.",김소미|이주현|이화정|허남웅,"사랑과 청춘과 시대의 명암이 반짝반짝|억압만큼 거셌던, 지나간 시절의 음악과 사랑|이념이 발목 잡아도 청춘은 바통을 넘겨 쥐며 음악처럼 질주한다|현재의 청춘이 과거의 청춘을 향해 보내는 무한정 리스펙트. 애틋하고 귀엽다"
MM1000128477,쿠르스크,,Kursk,"23명의 마지막 기록 누구도 믿음을 놓지 않았다.
평범한 토요일 아침, 해군 대위 ‘미하일’(마티아스 쇼에나에츠)은 핵잠수함 쿠르스크에 승선한다.
출항 직후 예기치 못한 폭발로 잠수함이 침몰하고, 두 번째 폭발로 쿠르스크 선체에 큰 구멍이 뚫린다.
그 시각 남편의 소식을 들은 ‘미하일’의 아내 ‘타냐’(레아 세이두)는 그의 생사를 확인하려 하지만 아무 소식도 들을 수 없고 러시아 정부는 영국군 준장 ‘데이빗’(콜린 퍼스)의 구조 지원도 마다한 채 시간만 보내는데…
두 번의 폭발과 침몰한 잠수함, 118명 중 확인된 생존자는 단 23명, 그들은 끝까지 믿음을 잃지 않았다.",송형국|이다혜|이용철|허남웅,"가해자의 책임을 알지 못하는 희생에 대해|구조의 실패라는 재난|여기, 사람이 있다!|좋은 아빠들 위로 나쁜 아버지 하나"
