meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt
0.0mhz,,0.0MHz,20190529,59344
1 더하기 3,,Three Husbands,20191212,
100일동안 100가지로 100퍼센트 행복찾기,,100 Things,20190912,707
10년,,Ten Years Japan,20191212,
12번째 솔저,,The 12th Man,20190411,
13년의 공백,,blank 13,20190704,1142
1919 유관순,,,20190314,57370
1944: 인간병기,,Werewolves of the Third Reich,20191206,
47미터 2,,47 METERS DOWN: UNCAGED,20190828,478832
5 솔저스,,T.I.M,20190218,
600결사대,,Defenders,20190228,
82년생 김지영,,"KIM JI-YOUNG, BORN 1982",20191023,1816629
9월의 사랑과 만날때까지,,Until I Meet September's Love,20190904,
CCTV: 은밀한 시선,,Welcome Home,20190221,
CIA 데빌헌터,,All The Devil's Men,20190926,
jk닌자걸스,,JK Ninja Girls,20190131,
가버나움,,Capharnaum,20190124,38276
가장 보통의 연애,,Crazy Romance,20191002,2851980
가족이 되기까지,,In Safe Hands,20191101,
"각오는 됐나, 거기 여자",,Lock-On Love,20190516,
각자의 미식,,Beautiful Food,20190307,
갈까부다,,Wish you were here,20190901,
감염: 지구 최후의 날,,Mountain Fever,20190822,
감쪽같은 그녀,,A Little Princess,20191204,33091
강변호텔,,Hotel by the River,20190327,3393
갤버스턴,,Galveston,20190704,2013
갱스터 파라다이스,,South Wind,20190905,
건달티처,,,20190826,
걸작,,MASTERPIECE,20190701,
걸캅스,,Miss & Mrs. Cops,20190509,3926
검은 여름,,Black Summer,20190620,
겨울왕국 2,,Frozen 2,20191121,
경계선,,Border,20191024,9335
계절과 계절 사이,,Between the Seasons,20191003,151
고검기담: 소명신검의 부활,,Legend of the Ancient Sword,20190130,
고골: 악령과의 전쟁,,Gogol.VIY,20191017,
고릴라와 슈퍼레이스,,Louis & Nolan: The big Cheese Race,20190403,640
고봉수 감독 단편선,,,20190901,
고양이 여행 리포트,,The Travelling Cat Chronicles,20190509,1362
고질라: 킹 오브 몬스터,,Godzilla: King of the Monsters,20190529,157836
"고흐, 영원의 문에서",,At eternity's gate,20191226,16691
공포의 묘지,,Pet Sematary,20190410,
공포의 묘지: 망자의 저주,,Pet Graveyard,20191223,
공포의 신생아실,,The Nursery,20190610,
광대들: 풍문조작단,,Jesters: The Game Changers,20190821,578190
교회오빠,,A Job Who Is near Us,20190516,
구스 베이비,,Duck Duck Goose,20190116,60
국경의 왕,,The King of the Border,20190228,1887
굿 라이어,,The Good Liar,20191205,26382
굿바이 마이 러브NK: 붉은 청춘,,"Goodbye My Love, North Korea",20190502,801
굿바이 썸머,,Goodbye Summer,20190725,
귀권,,Ghost Boxing 3,20191114,
귀신의 향기,,Scent of Ghost,20190703,
그 옛날 집,,Like An Old House,20191024,
그것: 두 번째 이야기,,It Chapter Two,20190904,303
그날은 오리라,,Our Time Will Come,20191212,
그녀들을 도와줘,,Support the girls,20190725,
그대 이름은 장미,,ROSEBUD,20190116,1184
그때 그들,,LORO,20190307,293
그때 그들 확장판 1: 욕망의 부활,,LORO1,20190307,
그린 북,,Green Book,20190109,223775
극장판 공룡메카드: 타이니소어의 섬,,,20190110,142
극장판 반지의 비밀일기,,,20190911,
극장판 샤이닝스타:새로운 루나퀸의 탄생!,,Shining Star: Lunar Queen,20190718,
극장판 엉덩이 탐정: 화려한 사건 수첩,,Butt Detective The Movie,20190711,
극장판 오소마츠 6쌍둥이,,OSOMATSUSAN THE MOVIE,20190613,8898
극장판 타오르지마 버스터-블랙어썰트의 귀환,,The Return of Dark Assault,20191205,1535
극장판 헬로카봇 : 달나라를 구해줘!,,Hello Carbot the Movie: Save the Moon,20190904,2595
극장판 헬로카봇: 옴파로스 섬의 비밀,,,20190131,51127
극한직업,,Extreme Job,20190123,4808821
글래스,,Glass,20190117,466475
글로리아 벨,,Gloria Bell,20190606,910
기동전사 건담 내러티브,,Mobile Suit Gundam Narrative,20190524,
기묘한 가족,,THE ODD FAMILY : ZOMBIE ON SALE,20190213,7120
기방도령,,HOMME FATALE,20190710,247
기생충,,PARASITE,20190530,9576525
기생충 : 흑백판,,PARASITE,20190530,
김군,,KIM-GUN,20190523,14962
김복동,,My Name Is KIM Bok-dong,20190808,78092
깡패들,[무삭제판],,20191213,
꼬마 물고기 이자벨: 바다 대모험,,Izzie's Way Home,20190718,
꼬마 자전거 스피디,,Bikes,20191017,
