meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt,nongap_meta_title,nongap_engl_title,nonsc_meta_title,nongap_nonsc_meta_title,nonsc_engl_title,nongap_nonsc_engl_title,meta_title_split_1,meta_title_split_2,meta_title_split_3,meta_title_split_4,meta_title_split_5,meta_title_split_6,meta_title_split_7,meta_title_split_8,meta_title_split_9,meta_title_split_10,meta_title_split_11,kor_eng_title,spare_column_1,spare_column_2,spare_column_3,spare_column_4,spare_column_5
0.0mhz,,0.0MHz,20190529,59344.0,0.0mhz,0.0MHz,00mhz,00mhz,00MHz,00MHz,0.0mhz,,,,,,,,,,,0.0mhz (0.0MHz),,,,,
1 더하기 3,,Three Husbands,20191212,,1더하기3,ThreeHusbands,1 더하기 3,1더하기3,Three Husbands,ThreeHusbands,1,더하기,3,,,,,,,,,1 더하기 3 (Three Husbands),,,,,
100일동안 100가지로 100퍼센트 행복찾기,,100 Things,20190912,707.0,100일동안100가지로100퍼센트행복찾기,100Things,100일동안 100가지로 100퍼센트 행복찾기,100일동안100가지로100퍼센트행복찾기,100 Things,100Things,100일동안,100가지로,100퍼센트,행복찾기,,,,,,,,100일동안 100가지로 100퍼센트 행복찾기 (100 Things),,,,,
10년,,Ten Years Japan,20191212,,10년,TenYearsJapan,10년,10년,Ten Years Japan,TenYearsJapan,10년,,,,,,,,,,,10년 (Ten Years Japan),,,,,
12번째 솔저,,The 12th Man,20190411,,12번째솔저,The12thMan,12번째 솔저,12번째솔저,The 12th Man,The12thMan,12번째,솔저,,,,,,,,,,12번째 솔저 (The 12th Man),,,,,
13년의 공백,,blank 13,20190704,1142.0,13년의공백,blank13,13년의 공백,13년의공백,blank 13,blank13,13년의,공백,,,,,,,,,,13년의 공백 (blank 13),,,,,
1919 유관순,,,20190314,57370.0,1919유관순,,1919 유관순,1919유관순,,,1919,유관순,,,,,,,,,,1919 유관순 (1919 유관순),,,,,
1944: 인간병기,,Werewolves of the Third Reich,20191206,,1944:인간병기,WerewolvesoftheThirdReich,1944 인간병기,1944인간병기,Werewolves of the Third Reich,WerewolvesoftheThirdReich,1944:,인간병기,,,,,,,,,,1944: 인간병기 (Werewolves of the Third Reich),,,,,
47미터 2,,47 METERS DOWN: UNCAGED,20190828,478832.0,47미터2,47METERSDOWN:UNCAGED,47미터 2,47미터2,47 METERS DOWN UNCAGED,47METERSDOWNUNCAGED,47미터,2,,,,,,,,,,47미터 2 (47 METERS DOWN: UNCAGED),,,,,
5 솔저스,,T.I.M,20190218,,5솔저스,T.I.M,5 솔저스,5솔저스,TIM,TIM,5,솔저스,,,,,,,,,,5 솔저스 (T.I.M),,,,,
