mv_id|title|keyword1|keyword2|keyword3|keyword_cb|open_date
mv20190101001|언니|언니|||영화 언니|20190101
mv20190103001|데드풀 2: 순한맛|데드풀|데드풀2||데드풀 2|20190103
mv20190103002|레인보우: 나의 사랑|영화 레인보우|레인보우 나의사랑||레인보우 나의 사랑|20190103
mv20190103003|레토||||영화 레토|20190103
mv20190103004|미션 이스탄불 5: 더 파이널|미션 이스탄불 더 파이널|미션 이스탄불5||미션 이스탄불 5|20190103
mv20190103005|주먹왕 랄프 2: 인터넷 속으로|주먹왕 랄프 2 인터넷 속으로|주먹왕 랄프||주먹왕 랄프 2|20190103
mv20190104001|아이스브레이커|아이스브레이커|아이스 브레이커||영화 아이스브레이커|20190104
mv20190109001|그린 북|그린 북|그린북||영화 그린북|20190109
mv20190109002|내안의 그놈|내안의그놈|내 안의 그놈|내 안의 그 놈|내안의 그놈|20190109
mv20190109003|말모이|영화 말모이|||말모이|20190109
mv20190110001|극장판 공룡메카드: 타이니소어의 섬|공룡메카드 타이니소어의 섬|영화 공룡메카드|극장판 공룡메카드|극장판 공룡메카드 타이니소어의 섬|20190110
mv20190110002|돈 겟 아웃!|돈 겟 아웃|돈 겟 아웃!||돈겟아웃|20190110
mv20190110003|디스 크레이지 하트|다스크레이지하트|||다스 크레이지 하트|20190110
mv20190110004|리지|리지|||영화 리지|20190110
mv20190110005|빌리어네어 보이즈클럽|빌리어네어보이즈클럽|||빌리어네어 보이즈클럽|20190110
mv20190110006|사무라이-검신 주베에|영화 사무라이 검신|||사무라이 검신 주베에|20190110
mv20190110007|신 배틀로얄:극악 소년원|신 배틀로얄|배틀로얄|극악 소년원|신 배틀로얄 극악 소년원|20190110
mv20190110008|신 배틀로얄:극악 소년원 2|신 배틀로얄 2|배틀로얄|극악 소년원|신 배틀로얄 극악 소년원 2|20190110
mv20190110009|완벽한 그녀의 비밀|완벽한그녀의비밀|||완벽한 그녀의 비밀|20190110
mv20190110010|요코하마 갱스터|요코하마갱스터|||요코하마 갱스터|20190110
mv20190111001|아스트로: 우주전쟁|아스트로: 우주전쟁|||아스트로 우주전쟁|20190111
mv20190116001|구스 베이비|구스베이비|||구스 베이비|20190116
mv20190116002|그대 이름은 장미|그대이름은장미|||그대 이름은 장미|20190116
