CIN_ID,BLOG_CAFE_CIN_KWD,NAVER_CAFE_VIEW_NCNT,NAVER_CAFE_REP_NCNT
mv20190101001,영화 언니,11195,127
mv20190103001,데드풀 2,11086,19
mv20190103002,레인보우 나의 사랑,265,2
mv20190103003,영화 레토,1853,84
mv20190103005,주먹왕 랄프 2,11993,395
mv20190109001,영화 그린북,19202,652
mv20190109002,내안의 그놈,13332,364
mv20190109003,말모이,24483,805
mv20190110001,극장판 공룡메카드 타이니소어의 섬,268,10
mv20190110004,영화 리지,1163,58
mv20190110005,빌리어네어 보이즈클럽,1896,63
mv20190116001,구스 베이비,2131,54
mv20190116002,그대 이름은 장미,13151,463
mv20190116003,미래의 미라이,5944,270
mv20190116004,영화 언더독,10154,513
mv20190116005,왕이 될 아이,3057,205
mv20190116006,영화 쿠르스크,15219,653
mv20190117001,영화 글래스,6094,210
mv20190117002,영화 더 서치,1242,44
mv20190117004,영화 메이트,2083,33
mv20190117006,우행록 어리석은 자의 기록,1720,31
mv20190117007,일일시호일,3872,213
mv20190123001,극한직업,62269,1516
mv20190123002,두번째 여름,1960,83
mv20190123003,몬스터파크,142,16
mv20190123004,크리미널 게임 보석 사기단,521,25
mv20190123005,행맨,3930,202
mv20190124001,영화 가버나움,11976,405
mv20190124003,베스와 베라,3753,48
mv20190124004,아이 킬 자이언츠,184,5
mv20190124005,영화 얼굴들,4495,160
mv20190124006,파이널리스트,851,1
mv20190130001,고검기담 소명신검의 부활,29,1
mv20190130002,드래곤 길들이기 3,23682,870
mv20190130003,뺑반,29804,500
mv20190130004,영화 이월,493,13
mv20190131002,극장판 헬로카봇 옴파로스 섬의 비밀,279,22
mv20190131003,우리가족 라멘샵,1729,105
mv20190205001,시인 할매,6724,282
mv20190205002,알리타 배틀앤젤,342,12
mv20190206001,레고 무비 2,1691,49
mv20190207001,사랑은 비가 갠 뒤처럼,3785,139
mv20190207002,영화 아이스,3505,195
mv20190207004,영화 챔피언스,682,5
mv20190207005,영화 콜드워,1830,71
mv20190213001,기묘한 가족,21700,658
mv20190213002,신밧드와 마법 양탄자,357,27
mv20190213003,영화 증인,35397,1223
mv20190214002,도쿄의 밤하늘은 항상 가장 짙은 블루,1246,20
mv20190214003,드래곤볼 슈퍼 브로리,2984,132
mv20190214004,러브라이브 선샤인 더 스쿨 아이돌 무비 오버 더 레인보우,214,0
mv20190214005,메리 포핀스 리턴즈,8503,321
mv20190214006,메리 퀸 오브 스코틀랜드,868,3
mv20190214007,명탐정 코난 전율의 악보,1801,104
mv20190214009,해피 데스데이 2 유,1784,133
mv20190214011,험악한 꿈,1147,23
mv20190220001,모험왕 블링키,1235,40
mv20190220002,영화 사바하,30799,720
mv20190220003,신데렐라 마법 반지의 비밀,1539,80
mv20190220004,콜드 체이싱,8738,285
mv20190221002,더 페이버릿 여왕의 여자,5530,120
mv20190221004,살인마 잭의 집,416,0
mv20190221005,허비 행콕 무한한 가능성,71,1
mv20190227001,영화 더 와이프,4607,104
mv20190227002,레미의 초특급 시간여행,129,1
mv20190227003,영화 빠삐용,3888,189
mv20190227004,슈퍼미니2,1290,54
mv20190227005,영화 어쩌다 결혼,4037,132
mv20190227006,옷코는 초등학생 사장님,2417,120
mv20190227007,자전차왕 엄복동,14901,485
mv20190227008,칠곡 가시나들,9844,69
mv20190227009,영화 퍼미션,1079,25
mv20190227010,항거 유관순 이야기,9068,245
mv20190306001,캡틴 마블,88998,1814
mv20190307002,나는 다른 언어로 꿈을 꾼다,432,34
mv20190307003,영화 내가 사는 세상,447,3
mv20190307004,영화 리노,293,12
mv20190307005,브라더 오브 더 이어,2323,90
mv20190314001,영화 1919 유관순,2403,46
mv20190314002,영화 라스트 미션,2297,80
mv20190314004,미결처리반 Q 4 순수의 배신,54,0
mv20190314005,영화 봄은 온다,223,8
mv20190314006,숲속왕국의 꿀벌 여왕,199,4
mv20190314007,영화 아사코,9189,132
mv20190314008,에브리타임 룩 앳 유,543,9
mv20190314009,영화 엔젤페이스,1035,35
mv20190314010,영화 이스케이프 룸,15395,266
mv20190314011,영화 질투의 역사,3193,41
mv20190314012,철벽선생,3215,101
mv20190314013,영화 히치하이크,79,0
