,Title,keyword,OpenDate,date_from,date_to,blog_result,blog_result_01,blog_result_02
0,언니,영화 언니,2019-01-01,20181202,20190302,0,40685.0,662.0
1,데드풀 2: 순한맛,데드풀 2,2019-01-03,20181204,20190304,0,1983.0,1048.0
2,레인보우: 나의 사랑,레인보우 나의 사랑,2019-01-03,20181204,20190304,0,196.0,147.0
3,레토,영화 레토,2019-01-03,20181204,20190304,0,1099.0,271.0
4,미션 이스탄불 5: 더 파이널,미션 이스탄불 5,2019-01-03,20181204,20190304,0,42.0,13.0
5,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2,2019-01-03,20181204,20190304,0,6476.0,5079.0
6,아이스브레이커,영화 아이스브레이커,2019-01-04,20181205,20190305,0,15.0,3.0
7,그린 북,영화 그린북,2019-01-09,20181210,20190310,0,4142.0,1279.0
8,내안의 그놈,내안의 그놈,2019-01-09,20181210,20190310,0,6093.0,4640.0
9,말모이,말모이,2019-01-09,20181210,20190310,0,10764.0,10652.0
10,극장판 공룡메카드: 타이니소어의 섬,극장판 공룡메카드 타이니소어의 섬,2019-01-10,20181211,20190311,0,828.0,356.0
11,돈 겟 아웃!,돈겟아웃,2019-01-10,20181211,20190311,0,165.0,4.0
12,디스 크레이지 하트,다스 크레이지 하트,2019-01-10,20181211,20190311,0,0.0,0.0
13,리지,영화 리지,2019-01-10,20181211,20190311,0,806.0,141.0
14,빌리어네어 보이즈클럽,빌리어네어 보이즈클럽,2019-01-10,20181211,20190311,0,343.0,337.0
15,사무라이-검신 주베에,사무라이 검신 주베에,2019-01-10,20181211,20190311,0,2.0,1.0
16,신 배틀로얄:극악 소년원,신 배틀로얄 극악 소년원,2019-01-10,20181211,20190311,0,3.0,2.0
17,신 배틀로얄:극악 소년원 2,신 배틀로얄 극악 소년원 2,2019-01-10,20181211,20190311,0,7.0,1.0
18,완벽한 그녀의 비밀,완벽한 그녀의 비밀,2019-01-10,20181211,20190311,0,55.0,11.0
19,요코하마 갱스터,요코하마 갱스터,2019-01-10,20181211,20190311,0,3.0,2.0
20,아스트로: 우주전쟁,아스트로 우주전쟁,2019-01-11,20181212,20190312,0,17.0,1.0
21,구스 베이비,구스 베이비,2019-01-16,20181217,20190317,0,894.0,433.0
22,그대 이름은 장미,그대 이름은 장미,2019-01-16,20181217,20190317,0,1278.0,1179.0
23,미래의 미라이,미래의 미라이,2019-01-16,20181217,20190317,0,2485.0,1524.0
24,언더독,영화 언더독,2019-01-16,20181217,20190317,0,1637.0,450.0
25,왕이 될 아이,왕이 될 아이,2019-01-16,20181217,20190317,0,6120.0,470.0
26,쿠르스크,영화 쿠르스크,2019-01-16,20181217,20190317,0,795.0,288.0
27,글래스,영화 글래스,2019-01-17,20181218,20190318,0,3086.0,738.0
28,더 서치,영화 더 서치,2019-01-17,20181218,20190318,0,143.0,20.0
29,디 엔드?,영화 디 엔드,2019-01-17,20181218,20190318,0,68.0,2.0
30,메이트,영화 메이트,2019-01-17,20181218,20190318,0,5432.0,149.0
31,언싱커블,언싱커블,2019-01-17,20181218,20190318,0,69.0,69.0
32,우행록: 어리석은 자의 기록,우행록 어리석은 자의 기록,2019-01-17,20181218,20190318,0,100.0,62.0
33,일일시호일,일일시호일,2019-01-17,20181218,20190318,0,1168.0,1147.0
34,창간호,영화 창간호,2019-01-17,20181218,20190318,0,244.0,22.0
35,극한직업,극한직업,2019-01-23,20181224,20190324,0,40686.0,40238.0
36,"두 번째 여름, 두 번 다시 만날 수 없는 너",두번째 여름,2019-01-23,20181224,20190324,0,37714.0,216.0
37,몬스터파크,몬스터파크,2019-01-23,20181224,20190324,0,1809.0,378.0
38,크리미널 게임: 보석 사기단,크리미널 게임 보석 사기단,2019-01-23,20181224,20190324,0,88.0,86.0
39,행맨,행맨,2019-01-23,20181224,20190324,0,277.0,275.0
40,가버나움,영화 가버나움,2019-01-24,20181225,20190325,0,2590.0,893.0
41,데들리 스토커,데들리 스토커,2019-01-24,20181225,20190325,0,9.0,4.0
42,베스와 베라,베스와 베라,2019-01-24,20181225,20190325,0,288.0,191.0
43,아이 킬 자이언츠,아이 킬 자이언츠,2019-01-24,20181225,20190325,0,79.0,73.0
44,얼굴들,영화 얼굴들,2019-01-24,20181225,20190325,0,2216.0,63.0
45,파이널리스트,파이널리스트,2019-01-24,20181225,20190325,0,895.0,342.0
46,하트스트링스,하트스트링스,2019-01-24,20181225,20190325,0,20.0,9.0
47,트라이아스기 월드: 잃어버린 세계,트라이아스기 월드 잃어버린 세계,2019-01-29,20181230,20190330,0,2.0,2.0
