mv_id|title|like_mean_2|like_sum_2|dislike_mean_2|dislike_sum_2|like_mean_3|like_sum_3|dislike_mean_3|dislike_sum_3|like_sum_total|dislike_sum_total
mv20190101001|언니|13.128708901363272|32743.0|5.908179631114675|14735.0|1.79136690647482|498.0|1.9280575539568345|536.0|33241|15271
mv20190103001|데드풀 2: 순한맛|14.568181818181818|1282.0|2.715909090909091|239.0|5.625|45.0|1.875|15.0|1327|254
mv20190103002|레인보우: 나의 사랑|3.5833333333333335|43.0|1.4166666666666667|17.0|||||0|0
mv20190103003|레토|2.30188679245283|610.0|0.9811320754716981|260.0|0.39473684210526316|15.0|0.39473684210526316|15.0|625|275
mv20190103004|미션 이스탄불 5: 더 파이널|||||||||0|0
mv20190103005|주먹왕 랄프 2: 인터넷 속으로|5.5168091168091165|19364.0|1.2487179487179487|4383.0|0.42857142857142855|141.0|0.13069908814589665|43.0|19505|4426
mv20190104001|아이스브레이커|||||||||0|0
mv20190109001|그린 북|11.49779541446208|26077.0|0.37213403880070545|844.0|0.6028131279303416|900.0|0.12793034159410582|191.0|26977|1035
mv20190109002|내안의 그놈|10.519634703196347|92152.0|3.972945205479452|34803.0|4.6529284164859|4290.0|3.631236442516269|3348.0|96442|38151
mv20190109003|말모이|6.776681773749223|76258.0|1.9034035368346218|21419.0|1.7567024128686326|2621.0|1.2560321715817695|1874.0|78879|23293
mv20190110001|극장판 공룡메카드: 타이니소어의 섬|0.33923778851315084|632.0|0.21846484165324745|407.0|0.08|2.0|0.0|0.0|634|407
mv20190110002|돈 겟 아웃!|||||||||0|0
mv20190110003|디스 크레이지 하트|||||||||0|0
mv20190110004|리지|||||||||0|0
mv20190110005|빌리어네어 보이즈클럽|6.075949367088608|960.0|2.4367088607594938|385.0|0.08333333333333333|1.0|0.0|0.0|961|385
mv20190110006|사무라이-검신 주베에|||||||||0|0
mv20190110007|신 배틀로얄:극악 소년원|||||||||0|0
mv20190110008|신 배틀로얄:극악 소년원 2|||||||||0|0
mv20190110009|완벽한 그녀의 비밀|1.75|7.0|2.0|8.0|2.0|2.0|0.0|0.0|9|8
mv20190110010|요코하마 갱스터|||||||||0|0
mv20190111001|아스트로: 우주전쟁|1.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2|0
mv20190116001|구스 베이비|3.6893203883495147|760.0|0.8932038834951457|184.0|1.3|13.0|0.4|4.0|773|188
mv20190116002|그대 이름은 장미|6.139605462822458|4046.0|3.849772382397572|2537.0|0.59375|38.0|0.09375|6.0|4084|2543
mv20190116003|미래의 미라이|7.5578512396694215|5487.0|3.4738292011019283|2522.0|0.5238095238095238|33.0|0.20634920634920634|13.0|5520|2535
mv20190116004|언더독|8.865280289330922|9805.0|0.7025316455696202|777.0|3.6129032258064515|336.0|1.2043010752688172|112.0|10141|889
mv20190116005|왕이 될 아이|2.098901098901099|382.0|0.7967032967032966|145.0|0.5909090909090909|13.0|0.3181818181818182|7.0|395|152
mv20190116006|쿠르스크|13.396313364055299|2907.0|4.433179723502304|962.0|0.9583333333333334|46.0|1.2083333333333333|58.0|2953|1020
mv20190117001|글래스|5.541396688264939|15394.0|3.152267818574514|8757.0|1.4848484848484849|49.0|1.696969696969697|56.0|15443|8813
mv20190117002|더 서치|3.909090909090909|43.0|1.1818181818181819|13.0|1.0|2.0|0.0|0.0|45|13
mv20190117003|디 엔드?|3.0|15.0|5.8|29.0|2.5|5.0|2.5|5.0|20|34
mv20190117004|메이트|||||||||0|0
mv20190117005|언싱커블|||||||||0|0
mv20190117006|우행록: 어리석은 자의 기록|5.8979591836734695|578.0|1.8061224489795917|177.0|1.0666666666666667|16.0|0.7333333333333333|11.0|594|188
mv20190117007|일일시호일|1.3789473684210527|786.0|0.21578947368421053|123.0|0.05343511450381679|7.0|0.015267175572519083|2.0|793|125
mv20190117008|창간호|7.3478260869565215|169.0|2.0|46.0|2.0|8.0|2.25|9.0|177|55
mv20190123001|극한직업|5.417246580054507|204734.0|2.49453602518985|94276.0|2.5775981068822715|13071.0|2.5730625123249853|13048.0|217805|107324
mv20190123002|두 번째 여름, 두 번 다시 만날 수 없는 너|2.8666666666666667|43.0|1.9333333333333333|29.0|||||0|0
mv20190123003|몬스터파크|1.699248120300752|226.0|1.0451127819548873|139.0|0.0|0.0|0.0|0.0|226|139
mv20190123004|크리미널 게임: 보석 사기단|5.6923076923076925|148.0|6.653846153846154|173.0|||||0|0
mv20190123005|행맨|3.466666666666667|52.0|4.6|69.0|2.0|2.0|2.0|2.0|54|71
mv20190124001|가버나움|9.057046979865772|13495.0|0.4791946308724832|714.0|0.4074585635359116|295.0|0.0925414364640884|67.0|13790|781
mv20190124002|데들리 스토커|||||||||0|0
mv20190124003|베스와 베라|8.841059602649006|1335.0|3.1456953642384105|475.0|1.5789473684210527|30.0|0.8947368421052632|17.0|1365|492
mv20190124004|아이 킬 자이언츠|||||||||0|0
mv20190124005|얼굴들|6.190476190476191|130.0|3.619047619047619|76.0|2.7142857142857144|19.0|1.8571428571428572|13.0|149|89
mv20190124006|파이널리스트|2.0285714285714285|71.0|0.22857142857142856|8.0|0.75|3.0|0.0|0.0|74|8
mv20190124007|하트스트링스|2.6666666666666665|8.0|0.0|0.0|1.0|1.0|0.0|0.0|9|0
mv20190129001|트라이아스기 월드: 잃어버린 세계|||||||||0|0
mv20190130001|고검기담: 소명신검의 부활|3.2916666666666665|79.0|3.875|93.0|||||0|0
mv20190130002|드래곤 길들이기 3|3.839936608557845|12115.0|0.4735340729001585|1494.0|0.2|44.0|0.12727272727272726|28.0|12159|1522
mv20190130003|뺑반|13.17463574799918|128400.0|8.876769956905397|86513.0|2.704939919893191|2026.0|2.4072096128170895|1803.0|130426|88316
mv20190130004|이월|7.4|259.0|1.6285714285714286|57.0|2.2222222222222223|20.0|0.3333333333333333|3.0|279|60
mv20190131001|jk닌자걸스|||||||||0|0
mv20190131002|극장판 헬로카봇: 옴파로스 섬의 비밀|0.5448884276076803|1050.0|0.11053450960041515|213.0|0.0|0.0|0.0|0.0|1050|213
mv20190131003|우리가족: 라멘샵|1.360655737704918|83.0|0.819672131147541|50.0|0.0|0.0|1.0|2.0|83|52
mv20190205001|시인 할매|7.136752136752137|835.0|0.1452991452991453|17.0|0.8571428571428571|6.0|0.0|0.0|841|17
mv20190205002|알리타: 배틀 엔젤|6.960828931328728|85653.0|3.067208451848842|37742.0|4.0703125|1042.0|1.80078125|461.0|86695|38203
mv20190205003|툼 인베이더|1.0|6.0|0.0|0.0|||||0|0
mv20190206001|레고 무비 2|3.31055900621118|1066.0|1.0838509316770186|349.0|0.23529411764705882|4.0|0.4117647058823529|7.0|1070|356
mv20190207001|사랑은 비가 갠 뒤처럼|8.712230215827338|2422.0|2.9964028776978417|833.0|1.2903225806451613|40.0|0.16129032258064516|5.0|2462|838
