mv_id|movie_nm|review_cnt
mv20190101001|언니|3540
mv20190103001|데드풀 2: 순한맛|130
mv20190103002|레인보우: 나의 사랑|20
mv20190103003|레토|370
mv20190103004|미션 이스탄불 5: 더 파이널|0
mv20190103005|주먹왕 랄프 2: 인터넷 속으로|4520
mv20190104001|아이스브레이커|30
mv20190109001|그린 북|6910
mv20190109002|내안의 그놈|11560
mv20190109003|말모이|14790
mv20190110001|극장판 공룡메카드: 타이니소어의 섬|1950
mv20190110002|돈 겟 아웃!|0
mv20190110003|디스 크레이지 하트|0
mv20190110004|리지|0
mv20190110005|빌리어네어 보이즈클럽|220
mv20190110006|사무라이-검신 주베에|0
mv20190110007|신 배틀로얄:극악 소년원|0
mv20190110008|신 배틀로얄:극악 소년원 2|0
mv20190110009|완벽한 그녀의 비밀|10
mv20190110010|요코하마 갱스터|0
mv20190111001|아스트로: 우주전쟁|10
mv20190116001|구스 베이비|230
mv20190116002|그대 이름은 장미|950
mv20190116003|미래의 미라이|1140
mv20190116004|언더독|1490
mv20190116005|왕이 될 아이|260
mv20190116006|쿠르스크|380
mv20190117001|글래스|3770
mv20190117002|더 서치|30
mv20190117003|디 엔드?|40
mv20190117004|메이트|0
mv20190117005|언싱커블|0
mv20190117006|우행록: 어리석은 자의 기록|150
mv20190117007|일일시호일|830
mv20190117008|창간호|50
mv20190123001|극한직업|47200
mv20190123002|두 번째 여름, 두 번 다시 만날 수 없는 너|20
mv20190123003|몬스터파크|140
mv20190123004|크리미널 게임: 보석 사기단|40
mv20190123005|행맨|30
mv20190124001|가버나움|3170
mv20190124002|데들리 스토커|0
mv20190124003|베스와 베라|270
mv20190124004|아이 킬 자이언츠|0
mv20190124005|얼굴들|40
mv20190124006|파이널리스트|50
mv20190124007|하트스트링스|10
mv20190129001|트라이아스기 월드: 잃어버린 세계|0
mv20190130001|고검기담: 소명신검의 부활|50
mv20190130002|드래곤 길들이기 3|3960
mv20190130003|뺑반|12630
mv20190130004|이월|70
mv20190131001|jk닌자걸스|0
mv20190131002|극장판 헬로카봇: 옴파로스 섬의 비밀|2080
mv20190131003|우리가족: 라멘샵|80
mv20190205001|시인 할매|140
mv20190205002|알리타: 배틀 엔젤|14450
mv20190205003|툼 인베이더|10
mv20190206001|레고 무비 2|390
mv20190207001|사랑은 비가 갠 뒤처럼|460
mv20190207002|아이스|10
mv20190207003|일진3|0
mv20190207004|챔피언스|30
mv20190207005|콜드 워|330
mv20190213001|기묘한 가족|4020
mv20190213002|신밧드와 마법 양탄자|40
mv20190213003|증인|12680
mv20190214001|닥터 킬러 패밀리|10
mv20190214002|도쿄의 밤하늘은 항상 가장 짙은 블루|250
mv20190214003|드래곤볼 슈퍼: 브로리|1080
mv20190214004|러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우|340
mv20190214005|메리 포핀스 리턴즈|1490
mv20190214006|메리, 퀸 오브 스코틀랜드|0
mv20190214007|명탐정 코난:전율의 악보|190
mv20190214008|타임 워프 워|50
mv20190214009|해피 데스데이 2 유|2910
mv20190214010|해피니스 로드|0
mv20190214011|험악한 꿈|30
mv20190218001|5 솔저스|0
mv20190219001|치트 더 행맨|10
mv20190219002|포 핸즈|10
mv20190220001|모험왕 블링키|40
mv20190220002|사바하|14300
mv20190220003|신데렐라:마법 반지의 비밀|950
mv20190220004|콜드 체이싱|1070
mv20190221001|CCTV: 은밀한 시선|0
mv20190221002|더 페이버릿: 여왕의 여자|1990
mv20190221003|마지막 8월 어느 기념비의 이야기|10
mv20190221004|살인마 잭의 집|560
mv20190221005|허비 행콕: 무한한 가능성|30
mv20190223001|에이리언 어택 2019|0
mv20190225001|엽문 외전|0
mv20190227001|더 와이프|350
mv20190227002|래미의 초특급 시간여행|20
mv20190227003|빠삐용|330
mv20190227004|슈퍼미니 2|120
mv20190227005|어쩌다, 결혼|1100
mv20190227006|옷코는 초등학생 사장님!|130
mv20190227007|자전차왕 엄복동|8110
mv20190227008|칠곡 가시나들|420
mv20190227009|퍼미션|40
mv20190227010|항거: 유관순 이야기|7230
mv20190228001|600결사대|0
mv20190228002|국경의 왕|100
mv20190228003|실화: 숨겨진 비밀|40
mv20190306001|캡틴 마블 : 예고편 |0
mv20190307001|각자의 미식|0
mv20190307002|나는 다른 언어로 꿈을 꾼다|60
mv20190307003|내가 사는 세상|60
mv20190307004|리노|70
mv20190307005|브라더 오브 더 이어|70
mv20190307006|타임 트랩 킬러|20
mv20190314001|1919 유관순|360
mv20190314002|라스트 미션|0
mv20190314003|무법자 난공불락 대열차|10
mv20190314004|미결처리반 Q 4: 순수의 배신|0
mv20190314005|봄은 온다|10
mv20190314006|숲속왕국의 꿀벌 여왕|70
mv20190314007|아사코|550
mv20190314008|에브리타임 룩 앳 유|60
mv20190314009|엔젤페이스|30
mv20190314010|이스케이프 룸|2420
mv20190314011|질투의 역사|120
mv20190314012|철벽선생|310
mv20190314013|히치하이크|60
mv20190319001|몽 가르송|0
mv20190320001|돈|10380
mv20190320002|악질경찰|3540
mv20190320003|우상|2920
mv20190321001|데스티네이션 콘트롤|10
mv20190321002|무서운 이야기 : 오두막의 악마|0
mv20190321003|양지의 그녀|350
mv20190321004|원네이션|60
mv20190321005|정글북: 마법 원정대|70
mv20190325001|울프 SWAT|0
mv20190326001|쿵푸 워리어|0
mv20190327001|강변호텔|380
mv20190327002|더 길티|360
mv20190327003|덤보|1790
mv20190327004|방문객|10
mv20190327005|선희와 슬기|90
mv20190327006|썬키스 패밀리|480
mv20190327007|아틱|0
mv20190327008|어스|10790
mv20190327009|장난스런 키스|2840
mv20190327010|콜레트|510
mv20190328001|루스 베이더 긴즈버그: 나는 반대한다|180
mv20190328002|심장소리|10
mv20190328003|출동! 도토리 구조대|30
mv20190403001|고릴라와 슈퍼레이스|30
mv20190403002|로망|600
mv20190403003|생일|6320
mv20190403004|샤잠!|4840
mv20190403005|아픈 만큼 사랑한다|160
mv20190404001|나의 작은 시인에게|210
mv20190404002|막다른 골목의 추억|130
mv20190404003|스마트폰을 떨어뜨렸을 뿐인데|0
mv20190404004|예수보다 낯선|40
mv20190404005|오늘도 평화로운|130
mv20190404006|우리들의 완벽한 세계|30
mv20190404007|파도치는 땅|20
mv20190404008|프로디지|200
mv20190404009|한강에게|80
mv20190410001|공포의 묘지|780
mv20190410002|키코리키: 시간여행|40
mv20190410003|파이브 피트|860
mv20190410004|헬보이|2630
mv20190411001|12번째 솔저|180
mv20190411002|미성년|3550
mv20190411003|바이스|600
mv20190411004|쎈놈|220
mv20190411005|아이 엠 마더|590
mv20190411006|원펀치|0
mv20190411007|퍼스트 리폼드|150
mv20190411008|필그리미지|30
mv20190416001|벌레스크|0
mv20190416002|체크 메이트 캅|10
mv20190417001|다시, 봄|400
mv20190417002|똑딱똑딱 마법의 시계나라|20
mv20190417003|미이라: 악령의 부활|0
mv20190417004|왓칭|1170
mv20190417005|요로나의 저주|1460
mv20190418001|노무현과 바보들|1650
mv20190418002|던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-|120
mv20190418003|러브리스|110
mv20190418004|뷰티플 마인드|100
mv20190418005|스탈린이 죽었다!|100
