title|watcher_score|expert_score|netizen_score
언니|7.27|4.00|5.53
데드풀 2: 순한맛|8.25||8.57
레인보우: 나의 사랑|6.67|6.00|5.13
레토|8.45|7.14|8.42
미션 이스탄불 5: 더 파이널|||
주먹왕 랄프 2: 인터넷 속으로|8.96|7.25|8.64
아이스브레이커|||7.37
그린 북|9.55|7.29|9.59
내안의 그놈|8.76|4.00|8.16
말모이|9.19|5.86|9.10
극장판 공룡메카드: 타이니소어의 섬|9.17|5.00|9.14
돈 겟 아웃!|||
디스 크레이지 하트|||
리지|||
빌리어네어 보이즈클럽|5.89|4.33|4.90
사무라이-검신 주베에|||
신 배틀로얄:극악 소년원|||
신 배틀로얄:극악 소년원 2|||
완벽한 그녀의 비밀|||6.80
요코하마 갱스터|||
아스트로: 우주전쟁|||2.80
구스 베이비|9.06|5.00|8.81
그대 이름은 장미|7.67|6.50|6.75
미래의 미라이|7.33|6.50|6.03
언더독|9.47|7.00|9.31
왕이 될 아이|9.10|6.00|7.92
쿠르스크|9.06|6.20|8.66
글래스|8.06|6.33|7.41
더 서치|9.00|7.00|9.04
디 엔드?|||5.09
메이트|||
언싱커블|||
우행록: 어리석은 자의 기록|7.92|6.40|8.07
일일시호일|8.91|7.00|8.84
창간호|9.00|5.00|7.70
극한직업|9.20|6.80|8.50
두 번째 여름, 두 번 다시 만날 수 없는 너|10.0|4.00|7.76
몬스터파크|7.62|6.00|7.26
크리미널 게임: 보석 사기단|6.00|2.00|4.47
행맨|4.00|3.00|5.53
가버나움|9.54|7.33|9.59
데들리 스토커|||0.00
베스와 베라|7.80|6.00|7.48
아이 킬 자이언츠|||
얼굴들|7.14|7.40|6.27
파이널리스트|8.58|5.67|8.57
하트스트링스|||9.17
트라이아스기 월드: 잃어버린 세계|||
고검기담: 소명신검의 부활|||5.36
드래곤 길들이기 3|9.26|6.71|9.25
뺑반|7.15|5.25|5.98
이월|7.81|7.00|7.69
jk닌자걸스|||
극장판 헬로카봇: 옴파로스 섬의 비밀|8.77|7.00|8.74
우리가족: 라멘샵|8.41|6.50|7.83
시인 할매|9.53|6.00|9.64
알리타: 배틀 엔젤|8.82|7.14|8.69
툼 인베이더|||3.50
레고 무비 2|8.85|6.25|8.74
사랑은 비가 갠 뒤처럼|8.86|5.75|8.71
아이스|||8.00
일진3|||
챔피언스||5.50|8.13
콜드 워|8.48|7.17|8.29
기묘한 가족|7.46|5.71|6.13
신밧드와 마법 양탄자|8.43|4.00|8.33
증인|9.16|6.00|9.09
닥터 킬러 패밀리|||6.44
도쿄의 밤하늘은 항상 가장 짙은 블루|8.26|7.50|8.15
드래곤볼 슈퍼: 브로리|9.47|6.00|9.10
러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우|9.60||8.35
메리 포핀스 리턴즈|8.68|6.67|8.15
메리, 퀸 오브 스코틀랜드|||
명탐정 코난:전율의 악보||6.00|8.22
타임 워프 워|||6.94
해피 데스데이 2 유|8.29|6.00|7.34
해피니스 로드|||
험악한 꿈|7.33|7.00|7.08
5 솔저스|||
치트 더 행맨|||8.50
포 핸즈|||6.00
모험왕 블링키|8.93|6.00|8.49
사바하|7.41|6.89|7.28
신데렐라:마법 반지의 비밀|6.61|4.00|6.33
콜드 체이싱|7.31|7.50|6.72
CCTV: 은밀한 시선|||
더 페이버릿: 여왕의 여자|8.91|8.20|8.75
마지막 8월 어느 기념비의 이야기|||7.50
살인마 잭의 집|7.36|4.67|6.29
허비 행콕: 무한한 가능성|9.12|6.00|9.00
에이리언 어택 2019|||
엽문 외전|||
더 와이프|8.60|6.75|8.47
래미의 초특급 시간여행|9.17||6.63
빠삐용|8.78|4.33|8.58
슈퍼미니 2|7.93|7.67|7.92
어쩌다, 결혼|7.25|4.50|4.42
옷코는 초등학생 사장님!|9.48|6.75|9.24
자전차왕 엄복동|7.44|4.17|3.87
칠곡 가시나들|9.49|6.60|9.12
퍼미션|6.20|6.00|6.35
항거: 유관순 이야기|9.39|6.20|8.63
600결사대|||
국경의 왕|7.96|6.50|7.77
실화: 숨겨진 비밀|||4.97
캡틴 마블 : 예고편 |||
각자의 미식|||
나는 다른 언어로 꿈을 꾼다|8.15|7.00|7.83
내가 사는 세상|8.58|7.00|7.81
리노|8.51|5.00|8.06
브라더 오브 더 이어|8.40|5.00|8.70
타임 트랩 킬러|||4.81
1919 유관순|8.65|3.00|8.31
라스트 미션|||
무법자 난공불락 대열차|||2.29
미결처리반 Q 4: 순수의 배신|||
봄은 온다||5.50|9.00
숲속왕국의 꿀벌 여왕|8.49|6.50|8.66
아사코|8.36|5.67|7.38
에브리타임 룩 앳 유|8.35|5.50|8.17
엔젤페이스|7.75|4.50|7.96
이스케이프 룸|7.94|5.33|7.62
질투의 역사|8.00|2.50|5.12
철벽선생|9.17|6.00|7.70
히치하이크|9.25|6.00|8.08
몽 가르송|||
돈|8.39|5.50|7.40
악질경찰|7.10|4.29|5.80
우상|6.58|5.63|3.93
데스티네이션 콘트롤|||10.00
무서운 이야기 : 오두막의 악마|||
양지의 그녀|9.07|5.33|8.54
원네이션|7.83|5.00|7.47
정글북: 마법 원정대|7.97||6.99
울프 SWAT|||
쿵푸 워리어|||0.00
강변호텔|7.69|7.33|5.96
더 길티|8.32|6.86|7.66
덤보|9.17|6.00|8.92
