mv_id|movie_nm|ogroup|ti_mean|ti_min|ti_max
mv20190101001|언니|1|0.6621450000000001|0.06815|5.29278
mv20190101001|언니|2|1.863262666666666|0.44968|9.92561
mv20190101001|언니|3|0.3360833333333332|0.15085|0.64278
mv20190103001|데드풀 2: 순한맛|1|0.3194596666666667|0.15597|0.72005
mv20190103001|데드풀 2: 순한맛|2|0.41799299999999995|0.19001|4.35801
mv20190103001|데드풀 2: 순한맛|3|0.3441896666666668|0.16463|2.30974
mv20190103002|레인보우: 나의 사랑|1|0.009964482758620689|0.0006|0.0564
mv20190103002|레인보우: 나의 사랑|2|0.015699333333333336|0.0018|0.06303
mv20190103002|레인보우: 나의 사랑|3|0.0011059999999999998|0.00037|0.00301
mv20190103003|레토|1|0.08622|0.01784|0.35652
mv20190103003|레토|2|0.15865300000000002|0.03886|0.44818
mv20190103003|레토|3|0.02575633333333333|0.0122|0.04774
mv20190103004|미션 이스탄불 5: 더 파이널|1|0.0019622222222222224|0.00037|0.00715
mv20190103004|미션 이스탄불 5: 더 파이널|2|0.004608666666666667|0.00082|0.01016
mv20190103004|미션 이스탄불 5: 더 파이널|3|0.007168999999999999|0.00105|0.03991
mv20190103005|주먹왕 랄프 2: 인터넷 속으로|1|0.274895|0.09451|0.96203
mv20190103005|주먹왕 랄프 2: 인터넷 속으로|2|1.3089049999999998|0.24596|4.42895
mv20190103005|주먹왕 랄프 2: 인터넷 속으로|3|0.19071166666666667|0.1223|0.33882
mv20190104001|아이스브레이커|1|0.008220333333333333|0.00308|0.02161
mv20190104001|아이스브레이커|2|0.02528500000000001|0.00745|0.05505
mv20190104001|아이스브레이커|3|0.039556|0.0082|0.38318
mv20190109001|그린 북|1|0.1578923333333333|0.03208|0.712
mv20190109001|그린 북|2|1.250058333333333|0.64278|2.75702
mv20190109001|그린 북|3|1.6222563333333333|0.36277|19.22719
mv20190109002|내안의 그놈|1|1.4964773333333337|0.12125|10.62292
mv20190109002|내안의 그놈|2|7.5733179999999996|2.10798|20.85416
mv20190109002|내안의 그놈|3|1.843336|0.5811|4.13305
mv20190109003|말모이|1|2.4240113333333335|0.20763|18.21273
mv20190109003|말모이|2|7.924156|2.06453|19.66061
mv20190109003|말모이|3|2.118097|0.58427|5.33752
mv20190110001|극장판 공룡메카드: 타이니소어의 섬|1|0.07639899999999998|0.00768|0.33559
mv20190110001|극장판 공룡메카드: 타이니소어의 섬|2|0.23325166666666672|0.06913|0.87121
mv20190110001|극장판 공룡메카드: 타이니소어의 섬|3|0.03334099999999999|0.01137|0.09398
mv20190110002|돈 겟 아웃!|1|0.03006647058823529|0.00052|0.07764
mv20190110002|돈 겟 아웃!|2|0.10234900000000005|0.00173|2.36886
mv20190110002|돈 겟 아웃!|3|0.0023926666666666675|0.00067|0.00685
mv20190110003|디스 크레이지 하트|1|0.0016071428571428571|0.00045|0.00323
mv20190110003|디스 크레이지 하트|2|0.010993333333333334|0.00225|0.05972
mv20190110003|디스 크레이지 하트|3|0.003011666666666667|0.00052|0.01174
mv20190110004|리지|1|0.14036200000000004|0.07945|0.31216
mv20190110004|리지|2|0.22385466666666662|0.1104|0.50059
mv20190110004|리지|3|0.4528593333333333|0.09692|4.39612
mv20190110005|빌리어네어 보이즈클럽|1|0.39508733333333335|0.00406|3.74075
mv20190110005|빌리어네어 보이즈클럽|2|0.20282100000000006|0.05196|0.88973
mv20190110005|빌리어네어 보이즈클럽|3|0.049311333333333325|0.01784|0.10114
mv20190110006|사무라이-검신 주베에|3|0.0013373913043478259|0.00037|0.00338
mv20190110007|신 배틀로얄:극악 소년원|1|0.03453033333333333|0.02703|0.05437
mv20190110007|신 배틀로얄:극악 소년원|2|0.03890333333333332|0.02485|0.06537
mv20190110007|신 배틀로얄:극악 소년원|3|0.03933266666666667|0.02507|0.05648
mv20190110008|신 배틀로얄:극악 소년원 2|1|0.03448233333333333|0.02703|0.05437
mv20190110008|신 배틀로얄:극악 소년원 2|2|0.03250666666666666|0.02485|0.04865
mv20190110008|신 배틀로얄:극악 소년원 2|3|0.035903666666666674|0.02221|0.04699
mv20190110009|완벽한 그녀의 비밀|1|0.007008571428571428|0.00225|0.01069
mv20190110009|완벽한 그녀의 비밀|2|0.004912333333333335|0.00135|0.01513
mv20190110009|완벽한 그녀의 비밀|3|0.0026530000000000004|0.00037|0.00707
mv20190110010|요코하마 갱스터|2|0.00271|0.00045|0.00399
mv20190110010|요코하마 갱스터|3|0.0013914999999999997|0.00037|0.00474
mv20190111001|아스트로: 우주전쟁|2|0.003045|0.00037|0.0064
